,uoCodigo,uoNome,uoSigla,programaDetalheId,programaCod,deObjetivo,deIndicador,dataIndiceReferencia,formulaCalculo,indiceReferencia,deUnidadeMedida,representacaoUnidMedida,deFonteIndicador,baseGeografica,periodicidade,valorAno1,realizadoAno1,valorAno2,realizadoAno2,valorAno3,realizadoAno3,valorAno4,realizadoAno4,anoAvaliacao,TipoDado,Ano,Quadrimestre
0,01001,Assembleia Legislativa do Estado de Rondônia,ALE,1402,2126,"Representar a sociedade rondoniense por meio do exercício do Poder Legislativo e de suas atribuições constitucionalmente 
previstas, na produção de normas, na fiscalização e controle dos atos do Poder Executivo, na promoção da participação 
popular, na realização de eventos que oportunizem o exercício da cidadania, na capacitação de comunidades, na comunicação 
social, e no apoio ao enfrentamento de calamidades públicas.",Índice de Desempenho Legislativo - IDL,2022-12-31T00:00:00,"Índice de Desempenho Legislativo (IDL = x/5 + y/10 + z/24), onde x = DIMENSÃO 1: REPRESENTATIVIDADE DAS 
INSTÂNCIAS DECISÓRIAS (5 questões); y = DIMENSÃO 2: CONDIÇÕES INFORMACIONAIS DA DELIBERAÇÃO 
LEGISLATIVA (10 questões); z = DIMENSÃO 3: PROCESSO LEGISLATIVO (24 questões), com base em: MENEGUIN, F. B.; 
MAGNA, I. Desempenho do Poder Legislativo: como avaliar? Brasília: Núcleo de Estudos e Pesquisas/CONLEG/Senado, 
Setembro/ 2014 (Texto para Discussão nº 155). Disponível em: www.senado.leg.br/estudos.
",4.45,Unidade,Un,Secretaria de Orçamento e Planejamento da ALE/RO,Estadual,Anual,4.49,4.49,4.49,,4.49,,4.49,,2024,Avaliação Indicador,2024,
1,02001,Tribunal de Contas do Estado,TCE,1413,2147,"Promover a transparência na utilização dos recursos públicos, fortalecer os mecanismos de governança e gestão no setor público, e fomentar o aprimoramento institucional do controle externo.",Apreciação de Contas de Governo tempestivamente,2022-12-31T00:00:00,ACG =  Σ(Contas de governo autuadas no exercício apreciadas) / (Total de contas de governo autuadas no exercício),71.79,Porcentagem,%,Secretaria Geral de Controle Externo - TCERO,Estadual,Anual,75,88.67,75,,75,,75,,2024,Avaliação Indicador,2024,
2,02001,Tribunal de Contas do Estado,TCE,1413,2147,"Promover a transparência na utilização dos recursos públicos, fortalecer os mecanismos de governança e gestão no setor público, e fomentar o aprimoramento institucional do controle externo.",Julgamento de contas de gestão tempestivo.,2022-12-31T00:00:00,JCG =  Σ (Somátorio contas de gestão autuadas no exercício anterior julgadas) / (Somátorio total de contas de gestão autuadas no exercício anterior),77.78,Porcentagem,%,Secretaria Geral de Controle Externo - TCERO,Estadual,Anual,85,54.28,85,,85,,85,,2024,Avaliação Indicador,2024,
3,02001,Tribunal de Contas do Estado,TCE,1413,2147,"Promover a transparência na utilização dos recursos públicos, fortalecer os mecanismos de governança e gestão no setor público, e fomentar o aprimoramento institucional do controle externo.",Volume de Recursos Fiscalizados,2022-12-31T00:00:00,VRF = Σ Somatório dos volumes de recursos fiscalizados apurado no exercício.,1321457917.84,Real,R$,Tribunal de Contas do Estado de Rondônia,Estadual,Anual,1500000000,3293714697.5,1800000000,,2160000000,,2592000000,,2024,Avaliação Indicador,2024,
4,02001,Tribunal de Contas do Estado,TCE,1416,2146,"Contribuir para o alcance de objetivos priorizados do Plano Nacional de Educação, bem como, para o alcance de objetivos priorizados do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm).",Índice de Governança em Políticas de Proteção das Unidades de Conservação (%),2023-01-01T00:00:00,Soma dos itens de verificação atendidos dividido pela soma do total de itens de verificação avaliados,0,Porcentagem,%,Secretaria-Geral de Planejamento - SEPLAN/TCERO,Estadual,Anual,0,,40,,45,,50,,2024,Avaliação Indicador,2024,
5,02001,Tribunal de Contas do Estado,TCE,1416,2146,"Contribuir para o alcance de objetivos priorizados do Plano Nacional de Educação, bem como, para o alcance de objetivos priorizados do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm).",Índice de Governança em Políticas Educacionais,2023-01-01T00:00:00,IGPE = Soma dos itens de verificação atendidos divididos pela soma do total de itens de verificação avaliados.,54,Porcentagem,%,Secretaria-Geral de Planejamento - SEPLAN/TCERO,Estadual,Anual,60,73,65,,70,,75,,2024,Avaliação Indicador,2024,
6,02011,Fundo de Desenvolvimento Institucional do Tribunal de Contas do Estado de Rondônia,FDI,1699,2146,"Contribuir para o alcance de objetivos priorizados do Plano Nacional de Educação, bem como, para o alcance de objetivos priorizados do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm).",Índice de Governança em Políticas de Proteção das Unidades de Conservação (%),2023-01-01T00:00:00,Soma dos itens de verificação atendidos dividido pela soma do total de itens de verificação avaliados,0,Porcentagem,%,Secretaria-Geral de Planejamento - SEPLAN/TCERO,,,0,,40,,45,,50,,2024,Avaliação Indicador,2024,
7,02011,Fundo de Desenvolvimento Institucional do Tribunal de Contas do Estado de Rondônia,FDI,1699,2146,"Contribuir para o alcance de objetivos priorizados do Plano Nacional de Educação, bem como, para o alcance de objetivos priorizados do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm).",Índice de Governança em Políticas Educacionais,2023-01-01T00:00:00,IGPE = Soma dos itens de verificação atendidos divididos pela soma do total de itens de verificação avaliados.,54,Porcentagem,%,Secretaria-Geral de Planejamento - SEPLAN/TCERO,,,60,73,65,,70,,75,,2024,Avaliação Indicador,2024,
8,02011,Fundo de Desenvolvimento Institucional do Tribunal de Contas do Estado de Rondônia,FDI,1700,2147,"Promover a transparência na utilização dos recursos públicos, fortalecer os mecanismos de governança e gestão no setor público, e fomentar o aprimoramento institucional do controle externo.",Apreciação de Contas de Governo tempestivamente,2022-12-31T00:00:00,ACG =  Σ(Contas de governo autuadas no exercício apreciadas) / (Total de contas de governo autuadas no exercício),71.79,Porcentagem,%,Secretaria Geral de Controle Externo - TCERO,,,75,88.67,75,,75,,75,,2024,Avaliação Indicador,2024,
9,02011,Fundo de Desenvolvimento Institucional do Tribunal de Contas do Estado de Rondônia,FDI,1700,2147,"Promover a transparência na utilização dos recursos públicos, fortalecer os mecanismos de governança e gestão no setor público, e fomentar o aprimoramento institucional do controle externo.",Julgamento de contas de gestão tempestivo.,2022-12-31T00:00:00,JCG =  Σ (Somátorio contas de gestão autuadas no exercício anterior julgadas) / (Somátorio total de contas de gestão autuadas no exercício anterior),77.78,Porcentagem,%,Secretaria Geral de Controle Externo - TCERO,,,85,54.28,85,,85,,85,,2024,Avaliação Indicador,2024,
