id,acao_detalhe_id,uo_codigo,programa_codigo,acao_codigo,valor_dotacao_inicial_ppa,valor_dotacao_inicial,valor_dotacao_atual,valor_empenhado,valor_liquidado_ano,valor_pago,valor_liquidado_a_pagar,valor_restos_a_pagar,ate_quadrimestre,ate_quadrimestre_fin_rpnp,numero_quadrimestre_fin_rpnp,ano_monitoramento,quadrimestre_monitoramento,tipo_dado,ano,quadrimestre
0,5113,30011,1009,2531,2885720,2885720,2885720.0,1399617.67,554064.0,552706.14,0.0,0.0,2617574.15,0.0,0.0,2024,1,Ação Financeiro,2024,1
1,5030,16001,2158,4059,157198,157198,170696.0,71400.0,21750.8,21300.8,0.0,0.0,117780.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
2,4947,15001,2166,2249,2500000,2500000,2600000.0,899880.22,0.0,0.0,0.0,0.0,801326.74,0.0,0.0,2024,1,Ação Financeiro,2024,1
3,5486,11005,2190,4159,8000,8000,8000.0,0.0,0.0,0.0,0.0,0.0,108500.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
4,4935,19001,1015,2087,3357725,3357725,4557725.0,1754356.32,540984.34,465386.88,0.0,0.0,3819804.77,0.0,0.0,2024,1,Ação Financeiro,2024,1
5,4769,11007,1015,2091,592574,592574,592574.0,164155.67,164155.67,164155.67,0.0,0.0,552590.55,0.0,0.0,2024,1,Ação Financeiro,2024,1
6,5474,11005,2190,2359,220000,220000,220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
7,5391,15001,1015,1446,5671548,5671548,5824609.61,2840720.92,2013370.96,2013370.96,0.0,0.0,7708985.34,0.0,0.0,2024,1,Ação Financeiro,2024,1
8,4757,13001,1015,2064,2670880,2670880,4502814.46,2468184.5,5384.5,5384.5,0.0,0.0,4191615.02,0.0,0.0,2024,1,Ação Financeiro,2024,1
9,5379,3011,1018,4140,654000,654000,656450.0,274714.67,91331.72,91252.72,0.0,0.0,453222.67,0.0,0.0,2024,1,Ação Financeiro,2024,1
10,4674,1001,2126,2665,27684736,27684736,27684736.0,21360449.17,8995.79,8995.79,0.0,0.0,20702728.96,0.0,0.0,2024,1,Ação Financeiro,2024,1
11,5296,21011,1015,4103,1000,1000,1000.0,4504050.87,1751095.72,1751095.72,0.0,0.0,7503957.63,0.0,0.0,2024,1,Ação Financeiro,2024,1
12,4662,1001,0,95,38700000,38700000,38700000.0,0.0,0.0,0.0,0.0,0.0,590000.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
13,5213,11023,1015,2091,188051,188051,178051.0,56430.67,56430.67,56430.67,0.0,0.0,534250.87,0.0,0.0,2024,1,Ação Financeiro,2024,1
14,5284,11025,2179,2350,19609981,19609981,19609981.0,0.0,0.0,0.0,0.0,0.0,1010810.16,0.0,0.0,2024,1,Ação Financeiro,2024,1
15,5201,11008,2058,2570,2606,2606,2606.0,1671.0,1671.0,1671.0,0.0,0.0,2625.48,0.0,0.0,2024,1,Ação Financeiro,2024,1
16,5118,30011,1009,2535,1870681,1870681,1870681.0,410954.9,103856.9,84220.9,0.0,0.0,3596836.44,0.0,0.0,2024,1,Ação Financeiro,2024,1
17,5189,15020,2172,2618,2200000,2200000,2200000.0,476176.34,402154.82,332455.62,0.0,0.0,1467635.51,0.0,0.0,2024,1,Ação Financeiro,2024,1
18,5106,30001,2043,2528,14071143,14071143,14067043.0,8206341.63,2194395.28,2191439.17,0.0,0.0,7999134.13,0.0,0.0,2024,1,Ação Financeiro,2024,1
19,5023,16001,2158,4055,1813628,1813628,1800628.0,735313.5,248217.55,163296.12,0.0,0.0,1174403.08,0.0,0.0,2024,1,Ação Financeiro,2024,1
20,5562,15015,2166,2249,0,0,0.0,129584.1,0.0,0.0,0.0,0.0,129584.1,0.0,0.0,2024,1,Ação Financeiro,2024,1
21,5011,11007,1015,1490,2600000,2600000,2600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
22,4928,15001,1015,2149,10880364,10880364,8332600.67,2156886.33,2156886.33,2156886.33,0.0,0.0,6834016.38,0.0,0.0,2024,1,Ação Financeiro,2024,1
23,5550,32001,2094,1154,0,0,60000.0,30260.0,30260.0,24920.0,0.0,0.0,71084.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
24,4833,18011,2098,2164,768832,768832,768832.0,162236.37,75028.98,71521.1,0.0,0.0,945701.49,0.0,0.0,2024,1,Ação Financeiro,2024,1
25,5455,16031,2090,2242,50000,50000,3050000.0,22856.72,0.0,0.0,0.0,0.0,3022331.72,0.0,0.0,2024,1,Ação Financeiro,2024,1
26,5372,19014,2095,1644,1749638,1749638,1749638.0,699023.36,682346.16,0.0,0.0,0.0,1035772.2,0.0,0.0,2024,1,Ação Financeiro,2024,1
27,4821,13001,1015,2234,42416924,42416924,35664888.49,5523088.5,5523088.5,5357699.78,0.0,0.0,18202152.44,0.0,0.0,2024,1,Ação Financeiro,2024,1
28,4738,15015,1015,2087,253340,253340,269212.72,177000.0,145.84,145.84,0.0,0.0,354423.97,0.0,0.0,2024,1,Ação Financeiro,2024,1
29,5360,3011,2065,1628,12760000,12760000,14805921.89,8793369.74,1873278.98,1422582.62,0.0,0.0,7778377.89,0.0,0.0,2024,1,Ação Financeiro,2024,1
30,4726,16020,1015,2087,3122000,3122000,3122000.0,950369.99,296682.63,226190.08,0.0,0.0,1837519.24,0.0,0.0,2024,1,Ação Financeiro,2024,1
31,5277,17012,2034,4011,29878686,29878686,35176525.3,17390525.17,7360930.77,5604066.75,0.0,0.0,31886941.73,0.0,0.0,2024,1,Ação Financeiro,2024,1
32,5194,29001,1280,2989,7814500,7814500,7814500.0,2339798.19,2072878.8,2072878.8,0.0,0.0,7034866.43,0.0,0.0,2024,1,Ação Financeiro,2024,1
33,5099,30001,1007,2517,78225050,78225050,78225050.0,23366061.44,23366061.44,23366061.44,0.0,0.0,80577909.46,0.0,0.0,2024,1,Ação Financeiro,2024,1
34,5170,15020,1015,2282,5187680,5187680,5187680.0,1985000.0,535674.13,534509.07,0.0,0.0,2584968.66,0.0,0.0,2024,1,Ação Financeiro,2024,1
35,5087,23001,2175,4069,75187932,75187932,75187932.0,69000.0,15229.82,15229.82,0.0,0.0,306160.64,0.0,0.0,2024,1,Ação Financeiro,2024,1
36,5004,15001,1025,2437,27159188,27159188,27159188.0,7352019.42,7352019.42,7352019.42,0.0,0.0,24115986.71,0.0,0.0,2024,1,Ação Financeiro,2024,1
37,4992,16001,2158,1581,70012443,70012443,69905464.98,388209.63,388209.63,388209.63,0.0,0.0,4315899.04,0.0,0.0,2024,1,Ação Financeiro,2024,1
38,4909,11017,2135,2461,69521,69521,69521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
39,4826,23001,1015,2091,8251217,8251217,8251217.0,1839649.32,1839649.32,1839649.32,0.0,0.0,5977303.85,0.0,0.0,2024,1,Ação Financeiro,2024,1
40,5448,11013,2000,4147,4510696,4510696,4510696.0,3824241.5,2002.5,2002.5,0.0,0.0,22158704.79,0.0,0.0,2024,1,Ação Financeiro,2024,1
