,acaoDetalheId,uoCodigo,programaCod,acaoCod,microRegiao,deMicroRegiao,noQuadrimestre,ateQuadrimestre,noQuadrimestreFisRpnp,ateQuadrimestreFisRpnp,quantidadePpa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
0,4659,02001,1019,2854,1,Região I,,,,,14,2024,1,Ação Físico,2024,1
1,4664,01001,1006,1379,1,Região I,0,0,0,0,1,2024,1,Ação Físico,2024,1
2,4665,01001,1006,2253,1,Região I,4,4,0,0,22,2024,1,Ação Físico,2024,1
3,4666,01001,1006,2405,1,Região I,2.5,2.5,0,0,25,2024,1,Ação Físico,2024,1
4,4667,01001,1006,2406,1,Região I,0.07,0.07,0,0,25,2024,1,Ação Físico,2024,1
5,4668,01001,1006,2408,1,Região I,169,169,0,0,220,2024,1,Ação Físico,2024,1
6,4669,01001,1020,2062,1,Região I,1,1,0,0,1,2024,1,Ação Físico,2024,1
7,4670,01001,1020,2418,1,Região I,666,666,0,0,776,2024,1,Ação Físico,2024,1
8,4671,01001,2126,2409,1,Região I,1,1,0,0,4,2024,1,Ação Físico,2024,1
9,4672,01001,2126,2416,1,Região I,30,30,0,0,50,2024,1,Ação Físico,2024,1
10,4673,01001,2126,2417,1,Região I,1660,1660,0,0,1507,2024,1,Ação Físico,2024,1
11,4674,01001,2126,2665,1,Região I,1,1,0,0,9,2024,1,Ação Físico,2024,1
12,4680,02001,2147,2539,1,Região I,,,,,3,2024,1,Ação Físico,2024,1
13,4680,02001,2147,2539,2,Região II,,,,,8,2024,1,Ação Físico,2024,1
14,4680,02001,2147,2539,3,Região III,,,,,5,2024,1,Ação Físico,2024,1
15,4680,02001,2147,2539,4,Região IV,,,,,4,2024,1,Ação Físico,2024,1
16,4680,02001,2147,2539,5,Região V,,,,,5,2024,1,Ação Físico,2024,1
17,4680,02001,2147,2539,6,Região VI,,,,,7,2024,1,Ação Físico,2024,1
18,4680,02001,2147,2539,7,Região VII,,,,,7,2024,1,Ação Físico,2024,1
19,4680,02001,2147,2539,8,Região VIII,,,,,7,2024,1,Ação Físico,2024,1
20,4680,02001,2147,2539,9,Região IX,,,,,4,2024,1,Ação Físico,2024,1
21,4680,02001,2147,2539,10,Região X,,,,,2,2024,1,Ação Físico,2024,1
22,4681,02001,2147,2523,1,Região I,,,,,25,2024,1,Ação Físico,2024,1
23,4682,02001,1010,1421,1,Região I,,,,,25,2024,1,Ação Físico,2024,1
24,4683,02001,1010,2981,1,Região I,,,,,80,2024,1,Ação Físico,2024,1
25,4684,02001,1010,1221,1,Região I,,,,,80,2024,1,Ação Físico,2024,1
26,4685,02001,1010,2973,1,Região I,,,,,80,2024,1,Ação Físico,2024,1
27,4686,02011,1220,2640,1,Região I,,,,,25,2024,1,Ação Físico,2024,1
28,4687,02011,1220,2977,1,Região I,,,,,25,2024,1,Ação Físico,2024,1
29,4688,02001,2146,2538,1,Região I,,,,,100,2024,1,Ação Físico,2024,1
30,4692,11009,1015,2087,1,Região I,1,1,0,0,1,2024,1,Ação Físico,2024,1
31,4694,17032,1015,2087,1,Região I,1,1,0,0,1,2024,1,Ação Físico,2024,1
32,4694,17032,1015,2087,2,Região II,1,1,0,0,1,2024,1,Ação Físico,2024,1
33,4694,17032,1015,2087,5,Região V,1,1,0,0,1,2024,1,Ação Físico,2024,1
34,4694,17032,1015,2087,6,Região VI,1,1,0,0,1,2024,1,Ação Físico,2024,1
35,4694,17032,1015,2087,7,Região VII,1,1,0,0,1,2024,1,Ação Físico,2024,1
36,4694,17032,1015,2087,8,Região VIII,1,1,0,0,1,2024,1,Ação Físico,2024,1
37,4694,17032,1015,2087,10,Região X,1,1,0,0,1,2024,1,Ação Físico,2024,1
38,4695,15015,2075,1119,1,Região I,0,0,0,0,1,2024,1,Ação Físico,2024,1
39,4695,15015,2075,1119,9,Região IX,,,,,0,2024,1,Ação Físico,2024,1
40,4697,19025,1015,2087,1,Região I,15,15,0,0,15,2024,1,Ação Físico,2024,1
41,4697,19025,1015,2087,2,Região II,10,10,0,0,10,2024,1,Ação Físico,2024,1
42,4697,19025,1015,2087,3,Região III,8,8,0,0,8,2024,1,Ação Físico,2024,1
43,4697,19025,1015,2087,4,Região IV,7,7,0,0,7,2024,1,Ação Físico,2024,1
44,4697,19025,1015,2087,5,Região V,10,10,0,0,10,2024,1,Ação Físico,2024,1
45,4697,19025,1015,2087,6,Região VI,9,9,0,0,9,2024,1,Ação Físico,2024,1
46,4697,19025,1015,2087,7,Região VII,8,8,0,0,8,2024,1,Ação Físico,2024,1
47,4697,19025,1015,2087,8,Região VIII,8,8,0,0,8,2024,1,Ação Físico,2024,1
48,4697,19025,1015,2087,9,Região IX,6,6,0,0,6,2024,1,Ação Físico,2024,1
49,4697,19025,1015,2087,10,Região X,3,3,0,0,3,2024,1,Ação Físico,2024,1
50,4699,19023,2096,2631,1,Região I,49135,49135,0,0,197640,2024,1,Ação Físico,2024,1
51,4699,19023,2096,2631,2,Região II,81807,81807,0,0,333047,2024,1,Ação Físico,2024,1
52,4699,19023,2096,2631,3,Região III,42298,42298,0,0,163925,2024,1,Ação Físico,2024,1
53,4699,19023,2096,2631,4,Região IV,21340,21340,0,0,90337,2024,1,Ação Físico,2024,1
54,4699,19023,2096,2631,5,Região V,40167,40167,0,0,123153,2024,1,Ação Físico,2024,1
55,4699,19023,2096,2631,6,Região VI,59782,59782,0,0,238299,2024,1,Ação Físico,2024,1
56,4699,19023,2096,2631,7,Região VII,40305,40305,0,0,153291,2024,1,Ação Físico,2024,1
57,4699,19023,2096,2631,8,Região VIII,46717,46717,0,0,201571,2024,1,Ação Físico,2024,1
58,4699,19023,2096,2631,9,Região IX,31578,31578,0,0,155791,2024,1,Ação Físico,2024,1
59,4699,19023,2096,2631,10,Região X,19207,19207,0,0,71536,2024,1,Ação Físico,2024,1
60,4700,19023,2096,2634,1,Região I,763,763,0,0,3084,2024,1,Ação Físico,2024,1
61,4700,19023,2096,2634,2,Região II,785,785,0,0,2440,2024,1,Ação Físico,2024,1
62,4700,19023,2096,2634,3,Região III,652,652,0,0,2048,2024,1,Ação Físico,2024,1
63,4700,19023,2096,2634,4,Região IV,342,342,0,0,1002,2024,1,Ação Físico,2024,1
64,4700,19023,2096,2634,5,Região V,769,769,0,0,2044,2024,1,Ação Físico,2024,1
65,4700,19023,2096,2634,6,Região VI,1177,1177,0,0,2274,2024,1,Ação Físico,2024,1
66,4700,19023,2096,2634,7,Região VII,1881,1881,0,0,3523,2024,1,Ação Físico,2024,1
67,4700,19023,2096,2634,8,Região VIII,1029,1029,0,0,2249,2024,1,Ação Físico,2024,1
68,4700,19023,2096,2634,9,Região IX,972,972,0,0,1972,2024,1,Ação Físico,2024,1
69,4700,19023,2096,2634,10,Região X,338,338,0,0,994,2024,1,Ação Físico,2024,1
70,4701,19023,2096,2515,1,Região I,15,15,0,0,144,2024,1,Ação Físico,2024,1
71,4701,19023,2096,2515,2,Região II,4,4,0,0,24,2024,1,Ação Físico,2024,1
72,4701,19023,2096,2515,3,Região III,16,16,0,0,72,2024,1,Ação Físico,2024,1
73,4701,19023,2096,2515,4,Região IV,46,46,0,0,84,2024,1,Ação Físico,2024,1
74,4701,19023,2096,2515,5,Região V,34,34,0,0,96,2024,1,Ação Físico,2024,1
75,4701,19023,2096,2515,6,Região VI,21,21,0,0,72,2024,1,Ação Físico,2024,1
76,4701,19023,2096,2515,7,Região VII,2,2,0,0,24,2024,1,Ação Físico,2024,1
77,4701,19023,2096,2515,8,Região VIII,7,7,0,0,72,2024,1,Ação Físico,2024,1
78,4701,19023,2096,2515,10,Região X,3,3,0,0,24,2024,1,Ação Físico,2024,1
79,4703,19023,2096,2516,1,Região I,9,9,0,0,26,2024,1,Ação Físico,2024,1
80,4703,19023,2096,2516,2,Região II,9,9,0,0,34,2024,1,Ação Físico,2024,1
81,4703,19023,2096,2516,3,Região III,13,13,0,0,66,2024,1,Ação Físico,2024,1
82,4703,19023,2096,2516,4,Região IV,39,39,0,0,46,2024,1,Ação Físico,2024,1
83,4703,19023,2096,2516,5,Região V,17,17,0,0,66,2024,1,Ação Físico,2024,1
84,4703,19023,2096,2516,6,Região VI,26,26,0,0,50,2024,1,Ação Físico,2024,1
