,uoCodigo,uoNome,uoSigla,programaDetalheId,programaCod,programaNome,programaDenominacao,dePublicoAlvo,deEixoAdministrativo,horizonteTemporal,dataInicio,dataFim,deTipoPrograma,justificativa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
0,01001,Assembleia Legislativa do Estado de Rondônia,ALE,1399,0000,OPERAÇÕES ESPECIAIS,Execução das ações classificadas como operações especiais,Credores da Assembleia Legislativa,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Operação Especial,"Necessidade de manutenção das ações administrativas para cobertura de despesas que não se pode associar à geração de um bem ou serviço, tais como pagamento de dívidas, indenizações administrativas ou cumprimento de sentenças judiciais, bem como o pagamento de pensionistas, nos termos da legislação vigente.",2024,1,Programa,2024,1
1,01001,Assembleia Legislativa do Estado de Rondônia,ALE,1400,1006,APERFEIÇOAMENTO DA GESTÃO DO PODER LEGISLATIVO,Execução de ações que visem aprimorar os mecanismos administrativos e as práticas legislativas.,"Parlamentares, Servidores e Sociedade",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Dotar a Assembleia Legislativa de meios legais, estruturais, instrumentais e humanos, de modo a proporcionar melhores condições de trabalho e de atendimento à população, em observância ao princípio constitucional da eficiência e ao interesse público.",2024,1,Programa,2024,1
2,01001,Assembleia Legislativa do Estado de Rondônia,ALE,1401,1020,APOIO ADMINISTRATIVO DO PODER LEGISLATIVO,Execução de ações que visem aprimorar os mecanismos administrativos e as práticas legislativas,"Parlamentares, Servidores e Sociedade",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Prover o suporte necessário à operacionalização e execução das atividades-meio da Assembleia Legislativa, de modo a garantir o pleno funcionamento do exercício do Poder Legislativo Estadual.",2024,1,Programa,2024,1
3,01001,Assembleia Legislativa do Estado de Rondônia,ALE,1402,2126,PODER LEGISLATIVO EM AÇÃO,Execução das ações predominantemente finalísticas da Assembleia Legislativa.,Toda a população do Estado de Rondônia,Cidadania,continuo,2024-01-01T00:00:00,,Finalístico,"Dotar a Assembleia Legislativa de recursos necessários ao exercício da representatividade social e da função legislativa, em atendimento às demandas da população nos aspectos legislativos e de fiscalização na sua esfera de competência, visando à melhoria dos serviços públicos e do bem-estar comum.",2024,1,Programa,2024,1
4,02001,Tribunal de Contas do Estado,TCE,1393,0000,OPERAÇÕES ESPECIAIS,Promover aos servidores do Tribunal de Contas o pagamento de sentenças e/ ou acordo judiciais.  ,Servidores do Tribunal de Contas do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Operação Especial,Cumprir o pagamento de sentenças e/ ou acordos judiciais.,2024,1,Programa,2024,1
5,02001,Tribunal de Contas do Estado,TCE,1394,1019,PREVIDÊNCIA SOCIAL ESTATUTÁRIA,"Assegurar aos Membros, Servidores e Dependentes o pagamento de aposentadoria e pensões.",Servidores públicos do Estado e seus dependentes legais,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Assegurar aos servidores públicos inativos e pensionistas do Tribunal de Contas do Estado o pagamento de um valor estabelecido em lei, quando da aposentadoria ou do óbito, proporcionando, assim, a certeza da manutenção das condições financeiras da família. ",2024,1,Programa,2024,1
6,02001,Tribunal de Contas do Estado,TCE,1408,1011,"REMUNERAÇÃO, INCENTIVO E VALORIZAÇÃO DOS SERVIDORES DO TCE/RO","Consiste em um conjunto de estratégias implementadas por meio de ações interligadas e complementares voltadas aos servidores do TCERO, que transcendem a remuneração e abrangem as demandas humanas para o desempenho de suas atividades laborais, tais como o senso de pertencimento, desenvolvimento e reconhecimento profissional, realização pessoal, e de forma ampla, promover à sociedade o sistema de controle externo na gestão pública através de corpo técnico, cumprindo os preceitos constitucionais.   ",Servidores do Tribunal de Contas do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Os servidores públicos do Tribunal de Contas do Estado de Rondônia (TCE RO) desempenham papel - direta ou indiretamente - crucial no exercício do controle externo, que, a seu turno, objetiva assegurar a alocação e dispêndio de recursos públicos pelo Estado em ações e políticas vertidas em prol da sociedade. Neste diapasão, o trabalho dos servidores desta casa está intrinsecamente conectado ao avanço social. Portanto, valorizá-los e proporcioná-los melhores condições de trabalho é fundamental para assegurar melhoria à população do Estado de Rondônia.",2024,1,Programa,2024,1
7,02001,Tribunal de Contas do Estado,TCE,1413,2147,CONTROLE EXTERNO DAS CONTAS PÚBLICAS,Gestão das Ações Institucionais de Controle Externo.,"Órgãos da Administração Direta e Indireta, demais entes estadual e municipal.",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Finalístico,"Promover a gestão fiscal responsável é condição essencial para garantir o financiamento da atuação governamental em todas as políticas públicas e, por conseguinte, para o desenvolvimento econômico e social sustentável. No geral, a maioria dos entes jurisdicionados destinam reduzida parcela da receita total aos investimentos que geram bem-estar à população e melhoram o ambiente de negócios. Para a garantia da sustentabilidade do financiamento das políticas públicas, o TCE deve atuar por meio de ações de controle tempestivas, sempre que possível de caráter preventivo, para assegurar o equilíbrio financeiro, provendo recomendações, alertas e determinações. ",2024,1,Programa,2024,1
8,02001,Tribunal de Contas do Estado,TCE,1414,1010,APRIMORAMENTO DA GESTÃO E GOVERNANÇA INSTITUCIONAL DO TCE/RO,Gestão das atividades administrativas e o desenvolvimento da política e gestão da tecnologia da informação para aprimoramento e modernização do TCE-RO.,Servidores do Tribunal de Contas do Estado de Rondônia e dos órgãos jurisdicionados,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"As atividades de gestão e governança evidenciam a existência e continuidade dos serviços prestados para o alcance dos objetivos institucionais. Justifica-se ainda pela necessidade de viabilizar as atividades de inspeção e auditoria, por intermédio de ações de apoio administrativo e tecnológico para o exercício do controle externo das contas públicas e da avaliação de políticas públicas. ",2024,1,Programa,2024,1
9,02001,Tribunal de Contas do Estado,TCE,1416,2146,AVALIAÇÃO DE POLÍTICAS PÚBLICAS,"O Tribunal de Contas deverá estruturar e realizar, periodicamente, avaliações do funcionamento das políticas públicas para assegurar o funcionamento dos processos críticos que conduzam à preservação e conservação das unidades de conservação.",Servidores do Tribunal de Contas e jurisdicionados,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Finalístico,"O Brasil e a região Norte em particular enfrentam grandes desafios para alcançar os desafios dos Objetivos de Desenvolvimento Sustentável da Agenda 2023. Na perspectiva de melhorar a qualidade de vida das atuais e futuras gerações, o TCE assume o compromisso de contribuir para o atingimento dos objetivos e metas do Plano Nacional de Educação (PNE) e do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm).",2024,1,Programa,2024,1
